File,Minor,Major,Total,Ownership,Bugs
DocTermsIndexDocValues.java,46.0,0.0,46.0,0.47058824,2.0
FloatValueFieldType.java,45.0,1.0,46.0,1.0,0.0
MultiSimpleDocValues.java,44.0,2.0,46.0,0.5,0.0
TestFastInputStream.java,46.0,0.0,46.0,0.2857143,0.0
PluginInfoHandler.java,46.0,0.0,46.0,0.2857143,0.0
TestBackwardsCompatibility.java,46.0,0.0,46.0,0.3489933,32.0
SyntaxParser.java,45.0,1.0,46.0,0.5,0.0
HindiNormalizer.java,45.0,1.0,46.0,0.75,0.0
TokenSources.java,46.0,0.0,46.0,0.33333334,7.0
Format.java,45.0,1.0,46.0,0.75,0.0
ClassificationResult.java,45.0,1.0,46.0,1.0,0.0
Lucene46Codec.java,45.0,1.0,46.0,0.6666667,2.0
WordDelimiterFilter.java,45.0,1.0,46.0,0.72727275,2.0
MoreLikeThisHandler.java,46.0,0.0,46.0,0.14814815,1.0
SpanGradientFormatter.java,45.0,1.0,46.0,0.5,0.0
TestUpdatingList.java,45.0,1.0,46.0,1.0,0.0
PathParts.java,45.0,1.0,46.0,1.0,0.0
TestNoMergeScheduler.java,46.0,0.0,46.0,0.25,0.0
TestAttributeSource.java,46.0,0.0,46.0,0.41666666,0.0
Lucene40PostingsFormat.java,46.0,0.0,46.0,0.4848485,4.0
TestPartialUpdateDeduplication.java,44.0,2.0,46.0,0.5,0.0
TestSpellChecker.java,45.0,1.0,46.0,0.56666666,6.0
TestData.java,45.0,1.0,46.0,0.6,1.0
MultiTermHighlighting.java,45.0,1.0,46.0,0.6666667,0.0
AnalyzerProfile.java,45.0,1.0,46.0,0.6666667,1.0
TestEnglishAnalyzer.java,45.0,1.0,46.0,0.6923077,5.0
TestZKPropertiesWriter.java,45.0,1.0,46.0,0.5,0.0
MockFixedIntBlockPostingsFormat.java,46.0,0.0,46.0,0.48,3.0
UserDictionary.java,46.0,0.0,46.0,0.4117647,1.0
AtomicIndexReader.java,45.0,1.0,46.0,1.0,0.0
TestStressIndexing2.java,46.0,0.0,46.0,0.33333334,12.0
TestManagedResource.java,45.0,1.0,46.0,1.0,0.0
AbsoluteValueDoubleFunction.java,45.0,1.0,46.0,1.0,0.0
TestMultiMMap.java,46.0,0.0,46.0,0.3529412,10.0
NormalizationH3.java,45.0,1.0,46.0,0.5714286,1.0
TermsFilterBuilder.java,45.0,1.0,46.0,0.5416667,5.0
TestReloadAndDeleteDocs.java,45.0,1.0,46.0,1.0,0.0
TreeMergeOutputFormat.java,45.0,1.0,46.0,0.71428573,2.0
CommonParams.java,46.0,0.0,46.0,0.22727273,0.0
RealTimeGetComponent.java,46.0,0.0,46.0,0.36,1.0
TestDocTermOrds.java,46.0,0.0,46.0,0.3888889,11.0
DisjunctionScorer.java,45.0,1.0,46.0,0.8333333,3.0
DirectoryReader.java,46.0,0.0,46.0,0.3478261,22.0
WordBreakSpellChecker.java,45.0,1.0,46.0,0.5,1.0
FieldInfosReader.java,46.0,0.0,46.0,0.44444445,0.0
PreFlexRWSegmentInfosFormat.java,45.0,1.0,46.0,0.5,0.0
Lev2ParametricDescription.java,46.0,0.0,46.0,0.4,0.0
OpenRangeQueryNodeProcessor.java,45.0,1.0,46.0,0.5,0.0
TestWholeBreakIterator.java,45.0,1.0,46.0,1.0,0.0
TypePromoter.java,46.0,0.0,46.0,0.4,1.0
SimpleHTMLEncoder.java,45.0,1.0,46.0,0.5,1.0
FieldConfigListener.java,46.0,0.0,46.0,0.42857143,0.0
IndexReaderFactoryTest.java,45.0,1.0,46.0,0.5555556,0.0
TestFieldInfos.java,45.0,1.0,46.0,0.5,0.0
TestLengthFilter.java,45.0,1.0,46.0,0.55,5.0
Directory.java,46.0,0.0,46.0,0.27659574,10.0
ThreadedEntityProcessorWrapper.java,45.0,1.0,46.0,0.5,0.0
TestTotalHitCountCollector.java,44.0,2.0,46.0,0.5,2.0
MultiSearcher.java,46.0,0.0,46.0,0.4,0.0
SolrInputDocumentWritable.java,45.0,1.0,46.0,1.0,0.0
CharTokenizer.java,45.0,1.0,46.0,0.54545456,4.0
TestComplexExplanations.java,45.0,1.0,46.0,0.625,0.0
TestHelper.java,45.0,1.0,46.0,1.0,0.0
TestISOLatin1AccentFilter.java,45.0,1.0,46.0,0.9,0.0
PrefixTermEnum.java,46.0,0.0,46.0,0.33333334,0.0
SuggesterResult.java,45.0,1.0,46.0,0.6666667,0.0
MissingStringLastComparatorSource.java,46.0,0.0,46.0,0.33333334,4.0
TopGroupsShardRequestFactory.java,45.0,1.0,46.0,0.5714286,0.0
SolrExampleStreamingTest.java,46.0,0.0,46.0,0.23529412,0.0
BaseSolrServlet.java,45.0,1.0,46.0,1.0,0.0
ClassicAnalyzer.java,45.0,1.0,46.0,0.5,5.0
TestLiveFieldValues.java,45.0,1.0,46.0,0.5,3.0
TestAtomicUpdate.java,46.0,0.0,46.0,0.3125,5.0
TestSearchForDuplicates.java,46.0,0.0,46.0,0.35,5.0
SolrInfoMBeanHandler.java,46.0,0.0,46.0,0.375,0.0
TestDictionary.java,45.0,1.0,46.0,0.9166667,11.0
LocaleAttributeImpl.java,45.0,1.0,46.0,0.6666667,0.0
ASCIIFoldingFilter.java,45.0,1.0,46.0,0.7692308,0.0
IndexDeletionPolicy.java,46.0,0.0,46.0,0.2,2.0
TestDocValues.java,46.0,0.0,46.0,0.39534885,3.0
GeohashPrefixTree.java,45.0,1.0,46.0,0.61290324,4.0
IndicNormalizationFilter.java,45.0,1.0,46.0,0.85714287,0.0
SepCodec.java,45.0,1.0,46.0,0.5,0.0
TestAddIndexes.java,46.0,0.0,46.0,0.33009708,22.0
ParseBooleanFieldUpdateProcessorFactory.java,46.0,0.0,46.0,0.33333334,0.0
Viterbi.java,46.0,0.0,46.0,0.4,0.0
CodecUtil.java,46.0,0.0,46.0,0.2857143,3.0
TestMultiLevelSkipList.java,46.0,0.0,46.0,0.375,5.0
SolrResourceLocator.java,45.0,1.0,46.0,1.0,0.0
